"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000002","F27C8.1","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-1 is an ortholog of human SLC7A5 (solute carrier family 7 member 5) and SLC7A8 (solute carrier family 7 member 8)\; contributes to L-amino acid transmembrane transporter activity\; is involved in amino acid transmembrane transport\; localizes to the amino acid transport complex\; is expressed in several tissues, including the alimentary system, the excretory system, the nervous system, the reproductive system, and the tail\; human orthologs of this gene are implicated in lysinuric protein intolerance."
"2","WBGene00000009","F28F9.4","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-8 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"3","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"4","WBGene00000083","F08C6.1","Proteolysis general","Proteolysis general: metallopeptidase","Proteolysis general: metallopeptidase","adt-2 is an ortholog of human ADAMTS14 (ADAM metallopeptidase with thrombospondin type 1 motif 14), ADAMTS2 (ADAM metallopeptidase with thrombospondin type 1 motif 2), and ADAMTS3 (ADAM metallopeptidase with thrombospondin type 1 motif 3)\; is predicted to have metal ion binding activity and metalloendopeptidase activity\; is involved in several processes, including collagen fibril organization, determination of adult lifespan, and positive regulation of growth\; is expressed in the socket cell and the vulva."
"5","WBGene00000189","ZK632.8","Signaling","Signaling: small GTPase","Signaling: small GTPase: ARF","arl-5 is an ortholog of human ARL5A (ADP ribosylation factor like GTPase 5A), ARL5B (ADP ribosylation factor like GTPase 5B), and ARL5C (ADP ribosylation factor like GTPase 5C)\; is predicted to have GTP binding activity\; is involved in microtubule cytoskeleton organization."
"6","WBGene00000213","W03G1.7","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid","asm-3 is an ortholog of human SMPD1\; is predicted to have sphingomyelin phosphodiesterase activity."
"7","WBGene00000220","K08F8.2","Transcription factor","Transcription factor: bZIP","Transcription factor: bZIP","atf-2 is an ortholog of human NFIL3 (nuclear factor, interleukin 3 regulated)\; exhibits RNA polymerase II regulatory region DNA binding activity\; is involved in negative regulation of transcription by RNA polymerase II\; is expressed in several tissues, including egg-laying apparatus, the digestive tract, the excretory system, and the nervous system."
"8","WBGene00000228","W04D2.1","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","atn-1 is an ortholog of human ACTN1 (actinin alpha 1), ACTN4 (actinin alpha 4), and ACTN3 (actinin alpha 3 (gene\/pseudogene))\; is predicted to have actin binding activity\; localizes to the striated muscle dense body and striated muscle thin filament\; is expressed in several tissues, including the body wall, the muscular system, the pharynx, the reproductive system, and the tail\; human orthologs of this gene are implicated in dilated cardiomyopathy 1AA, focal segmental glomerulosclerosis 1, and platelet-type bleeding disorder 15."
"9","WBGene00000255","F45G2.5","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","bli-5 exhibits serine-type endopeptidase activity\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle, protein catabolic process, and vulval development\; is expressed in the excretory cell, the excretory duct, and the vulva."
"10","WBGene00000266","C53B4.7","Stress response","Stress response: pathogen","Stress response: pathogen: unassigned","bre-1 is an ortholog of human GMDS (GDP-mannose 4,6-dehydratase)\; exhibits GDP-mannose 4,6-dehydratase activity\; is involved in GDP-L-fucose biosynthetic process, GDP-mannose metabolic process, and response to toxic substance\; localizes to the endoplasmic reticulum, sarcomere, and striated muscle dense body\; is expressed in the body wall musculature and the nervous system."
"11","WBGene00000399","R05H10.6","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-7 is an ortholog of human FAT1 (FAT atypical cadherin 1) and FAT2 (FAT atypical cadherin 2)\; is predicted to have calcium ion binding activity."
"12","WBGene00000402","C45G7.5","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-10 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have calcium ion binding activity\; is expressed in the K cell, the K' cell, the mc1, the mc2, and the seam cell."
"13","WBGene00000493","F56H1.1","Transmembrane transport","Transmembrane transport: unassigned","Transmembrane transport: unassigned","che-14 is an ortholog of human DISP1 and DISP2\; localizes to the apical plasma membrane\; is expressed in the epithelial cell, the epithelial system, the excretory system, the rectum, and the vulva."
"14","WBGene00000521","C15C8.2","Transcription factor","Transcription factor: bHLH","Transcription factor: bHLH","cky-1 is an ortholog of human NPAS4 (neuronal PAS domain protein 4)\; contributes to sequence-specific DNA binding activity\; is involved in positive regulation of transcription by RNA polymerase II\; localizes to the RNA polymerase II transcription factor complex\; is expressed in the pharyngeal cell."
"15","WBGene00000557","R09B5.8","Stress response","Stress response: pathogen","Stress response: pathogen: caenacin","cnc-3 is enriched in the PLM, the germline precursor cell, the hypodermis, the intestine, and the male based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, dpy-10, and eat-2 based on microarray and RNA-seq studies\; is affected by eleven chemicals including Ethanol, methylmercury hydroxide, and Rotenone based on RNA-seq and microarray studies."
"16","WBGene00000606","F11G11.10","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-17 is enriched in the DA neuron, the VA neuron, the germline precursor cell, and the hypodermis based on tiling array and microarray studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by twenty-one chemicals including hydrogen sulfide, Nitric Oxide, and methylmercury hydroxide based on microarray and RNA-seq studies."
"17","WBGene00000618","T10B10.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-41 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis and the vulval precursor cell."
"18","WBGene00000620","ZC513.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-43 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"19","WBGene00000622","F53G12.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-45 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"20","WBGene00000623","Y18H1A.13","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-46 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including skn-1, npr-1, and dpy-7 based on tiling array, RNA-seq, and microarray studies\; is affected by seven chemicals including methylmercury hydroxide, 1-methylnicotinamide, and nicotinic acid based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"21","WBGene00000624","Y18H1A.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-47 is enriched in the hypodermis based on RNA-seq studies\; is affected by several genes including alg-1, alg-2, and hpl-2 based on microarray and RNA-seq studies\; is affected by methylmercury hydroxide based on RNA-seq studies\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"22","WBGene00000631","F33D11.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-54 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"23","WBGene00000641","K08C9.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-65 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"24","WBGene00000649","F11G11.12","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-73 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"25","WBGene00000659","K12D12.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-84 is an ortholog of human COL1A1 (collagen type I alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"26","WBGene00000665","C29E4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-90 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"27","WBGene00000666","F09G8.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-91 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"28","WBGene00000668","W05B2.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-93 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"29","WBGene00000674","F29C4.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-99 is an ortholog of human COL13A1 (collagen type XIII alpha 1 chain), COL4A1 (collagen type IV alpha 1 chain), and COL4A5 (collagen type IV alpha 5 chain)\; is predicted to be a structural constituent of cuticle\; localizes to the extracellular region, neuromuscular junction, and spanning component of plasma membrane\; is expressed in the epithelial system, the muscular system, and the nervous system."
"30","WBGene00000684","F19C7.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-110 is predicted to be a structural constituent of cuticle."
"31","WBGene00000697","W08D2.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-123 is an ortholog of human COL16A1 (collagen type XVI alpha 1 chain) and COLQ\; is predicted to be a structural constituent of cuticle."
"32","WBGene00000698","C24F3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-124 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"33","WBGene00000699","C29F4.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-125 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"34","WBGene00000702","F12F6.9","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-128 is an ortholog of human COL11A1 (collagen type XI alpha 1 chain), COL5A1 (collagen type V alpha 1 chain), and COL5A3 (collagen type V alpha 3 chain)\; human COL5A1 exhibits heparin binding activity, platelet-derived growth factor binding activity, and proteoglycan binding activity."
"35","WBGene00000705","C39E9.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-131 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to encode a protein with the following domain: Collagen triple helix repeat."
"36","WBGene00000722","B0024.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-149 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"37","WBGene00000729","F57B7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-156 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"38","WBGene00000731","D2023.7","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-158 is an ortholog of human COLQ\; is predicted to be a structural constituent of cuticle."
"39","WBGene00000736","F46B3.17","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-163 is affected by several genes including daf-16, daf-12, and hsf-1 based on tiling array, RNA-seq, and microarray studies\; is affected by methylmercuric chloride based on microarray studies."
